"代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"002916","深南电路","2019-03-31T00:00:00","电子元件","2162870945.88","46.3899","-4.5232","1890058059.31","17.1080982827053","186768322.15","0.595425","-16.7415","23.5394","4941019297.92","0.231086"
"002916","深南电路","2018-12-31T00:00:00","电子元件","7602141701.41","33.6772","8.0251","7080959357.39","7.50722561138899","697252358.02","0.556081","16.4864","23.1296","4801608898.55","0.123099"
"002916","深南电路","2017-12-31T00:00:00","电子元件","5686939441.08","23.6694","-0.8306","5404536230.42","3.83841643798639","448082267.22","0.634357","25.6864","22.401","4275319502.96","0.200214"
"002916","深南电路","2016-12-31T00:00:00","电子元件","1287394591.94","-","2.2279","1013573048.86","4.6056308962642","101678062.02","-","50.517","23.8732","3562130018.63","0.043487""代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"300433","蓝思科技","2019-03-31T00:00:00","材料行业","4806629496.33","6.9482","-44.9061","7270544093.68","19.5920551102028","-96966167.63","-1.881765","77.3322","18.158","25215482210.45","0.410776"
"300433","蓝思科技","2018-12-31T00:00:00","材料行业","27717496839.46","16.9368","7.7136","28315064053.74","22.4740977908111","637007405.27","-0.688806","-170.547","22.6308","26052929475.47","0.376575"
"300433","蓝思科技","2017-12-31T00:00:00","材料行业","23702962254.39","55.5709","33.0069","21459285563.1","6.39741434557295","2046977419.58","0.70072","98.2893","27.9562","18925905620.33","0.944929"
"300433","蓝思科技","2016-12-31T00:00:00","材料行业","15236116891.15","-11.5587","-8.1765","15473415533.25","35.959092871253","1203594795.98","-0.21984","-25.2884","25.2772","9730895969.91","-0.032618""代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"601298","青岛港","2019-03-31T00:00:00","港口水运","3139039296","5.6283","-","3039000015","20.7887278538142","978338636","0.048431","-","33.0527","20998095675","-"
"601298","青岛港","2018-12-31T00:00:00","港口水运","11741480164","15.7226","-","10811393842","4.60321626802506","3593485631","0.180918","-","30.8818","19346258690","-0.158529"
"601298","青岛港","2017-12-31T00:00:00","港口水运","2971777579","-","-","2851347658","1.00008523503356","933145470","-","-","33.879","22990996022","0.008376"
